TOP 20 TÓPICOS (Menor Entropía es Mejor)
========================================
Modelo     | Tópico     | Entropía       
K=300      | 147        | 2.24025
K=80       | 67         | 2.60510
K=50       | 15         | 2.61274
K=300      | 207        | 2.63824
K=200      | 29         | 2.65324
K=300      | 129        | 2.71108
K=300      | 257        | 2.72578
K=300      | 40         | 2.73020
K=300      | 12         | 2.73305
K=200      | 55         | 2.76473
K=200      | 196        | 2.78100
K=200      | 188        | 2.78108
K=300      | 125        | 2.79845
K=300      | 9          | 2.80747
K=300      | 150        | 2.83214
K=300      | 296        | 2.83293
K=200      | 14         | 2.84840
K=300      | 216        | 2.87335
K=200      | 122        | 2.88517
K=300      | 119        | 2.88737
