--- ANÁLISIS DE TEMAS LDA (K=200) ---

==================== TEMA 0 ====================
  1. experimento          (Prob: 0.119518)
  2. ver                  (Prob: 0.049234)
  3. además               (Prob: 0.035177)
  4. morir                (Prob: 0.031663)
  5. rapidez              (Prob: 0.024635)
  6. grupo                (Prob: 0.024635)
  7. cualquiera           (Prob: 0.017606)
  8. ejecución            (Prob: 0.017606)
  9. superior             (Prob: 0.014092)
  10. lograr               (Prob: 0.010578)
  11. empezar              (Prob: 0.010578)
  12. aconsejar            (Prob: 0.010578)
  13. haber él             (Prob: 0.010578)
  14. ario                 (Prob: 0.010578)
  15. haber                (Prob: 0.010578)
  16. recordar él          (Prob: 0.010578)
  17. objeto               (Prob: 0.010578)
  18. caballo              (Prob: 0.010578)
  19. circular             (Prob: 0.010578)
  20. lástima              (Prob: 0.007064)

==================== TEMA 1 ====================
  1. ver                  (Prob: 0.067111)
  2. padecer              (Prob: 0.050344)
  3. además               (Prob: 0.041960)
  4. marido               (Prob: 0.037768)
  5. loco                 (Prob: 0.029385)
  6. trozo                (Prob: 0.025193)
  7. negar                (Prob: 0.021001)
  8. retirar              (Prob: 0.021001)
  9. terminar             (Prob: 0.021001)
  10. aspirín              (Prob: 0.021001)
  11. serie                (Prob: 0.016809)
  12. estudiante           (Prob: 0.012617)
  13. campo                (Prob: 0.012617)
  14. esther               (Prob: 0.008426)
  15. penetrant            (Prob: 0.008426)
  16. religioso            (Prob: 0.008426)
  17. acusar               (Prob: 0.008426)
  18. colocar              (Prob: 0.008426)
  19. permitir él          (Prob: 0.008426)
  20. hacia                (Prob: 0.008426)

==================== TEMA 2 ====================
  1. tal                  (Prob: 0.098376)
  2. manera               (Prob: 0.076522)
  3. bueno                (Prob: 0.029174)
  4. ejemplo              (Prob: 0.025532)
  5. resistencia          (Prob: 0.021890)
  6. suponer              (Prob: 0.021890)
  7. viena                (Prob: 0.018247)
  8. esposo               (Prob: 0.018247)
  9. circunstancia        (Prob: 0.014605)
  10. género               (Prob: 0.014605)
  11. amigo                (Prob: 0.014605)
  12. sonar                (Prob: 0.014605)
  13. territorio           (Prob: 0.010963)
  14. utilizar             (Prob: 0.010963)
  15. instalado            (Prob: 0.010963)
  16. transilvania         (Prob: 0.010963)
  17. birkenauauschwitz    (Prob: 0.010963)
  18. barraca              (Prob: 0.010963)
  19. cortado              (Prob: 0.010963)
  20. rueda                (Prob: 0.007321)

==================== TEMA 3 ====================
  1. poder                (Prob: 0.251291)
  2. matar                (Prob: 0.034932)
  3. aire                 (Prob: 0.034932)
  4. desaparecido         (Prob: 0.020973)
  5. pobre                (Prob: 0.017483)
  6. ocultar              (Prob: 0.013994)
  7. taxi                 (Prob: 0.013994)
  8. herido               (Prob: 0.013994)
  9. comprar              (Prob: 0.013994)
  10. marcha               (Prob: 0.007014)
  11. cristal              (Prob: 0.007014)
  12. rector               (Prob: 0.007014)
  13. pálido               (Prob: 0.007014)
  14. frontera             (Prob: 0.007014)
  15. pensamiento          (Prob: 0.007014)
  16. sollozar             (Prob: 0.007014)
  17. declarado            (Prob: 0.007014)
  18. sueño                (Prob: 0.007014)
  19. dolient              (Prob: 0.007014)
  20. deportada            (Prob: 0.007014)

==================== TEMA 4 ====================
  1. habitación           (Prob: 0.086976)
  2. noticia              (Prob: 0.070417)
  3. cosa                 (Prob: 0.053858)
  4. buscar               (Prob: 0.020740)
  5. mil                  (Prob: 0.016600)
  6. izquierdo            (Prob: 0.016600)
  7. elemento             (Prob: 0.016600)
  8. interior             (Prob: 0.012461)
  9. escala               (Prob: 0.012461)
  10. pi                   (Prob: 0.012461)
  11. abalanzar            (Prob: 0.012461)
  12. distinto             (Prob: 0.012461)
  13. destruir             (Prob: 0.012461)
  14. seleccionar          (Prob: 0.012461)
  15. tocar                (Prob: 0.012461)
  16. imaginar yo          (Prob: 0.008321)
  17. broma                (Prob: 0.008321)
  18. modos                (Prob: 0.008321)
  19. quizás               (Prob: 0.008321)
  20. cuarto               (Prob: 0.008321)

==================== TEMA 5 ====================
  1. allí                 (Prob: 0.058278)
  2. pensar               (Prob: 0.038865)
  3. empezar              (Prob: 0.034982)
  4. contener             (Prob: 0.031100)
  5. momento              (Prob: 0.031100)
  6. peor                 (Prob: 0.027217)
  7. pena                 (Prob: 0.027217)
  8. uno                  (Prob: 0.023334)
  9. órden                (Prob: 0.019452)
  10. veinte               (Prob: 0.015569)
  11. joven                (Prob: 0.015569)
  12. inmenso              (Prob: 0.015569)
  13. nueve                (Prob: 0.015569)
  14. amargo               (Prob: 0.011687)
  15. cautivo              (Prob: 0.011687)
  16. sometido             (Prob: 0.011687)
  17. inicial              (Prob: 0.011687)
  18. existencia           (Prob: 0.007804)
  19. ahorcado             (Prob: 0.007804)
  20. soldado              (Prob: 0.007804)

==================== TEMA 6 ====================
  1. uno                  (Prob: 0.124259)
  2. consecuencia         (Prob: 0.028089)
  3. entender             (Prob: 0.020075)
  4. grupo                (Prob: 0.020075)
  5. desear               (Prob: 0.020075)
  6. metro                (Prob: 0.016068)
  7. hacer yo             (Prob: 0.012061)
  8. apelar               (Prob: 0.012061)
  9. caja                 (Prob: 0.012061)
  10. jabón                (Prob: 0.012061)
  11. osvath               (Prob: 0.012061)
  12. izquierdo            (Prob: 0.012061)
  13. plantar              (Prob: 0.012061)
  14. romper               (Prob: 0.008054)
  15. existencia           (Prob: 0.008054)
  16. vendaje              (Prob: 0.008054)
  17. papel                (Prob: 0.008054)
  18. quince               (Prob: 0.008054)
  19. inválido             (Prob: 0.008054)
  20. suicidio             (Prob: 0.008054)

==================== TEMA 7 ====================
  1. país                 (Prob: 0.086504)
  2. plan                 (Prob: 0.061284)
  3. todavía              (Prob: 0.036064)
  4. repente              (Prob: 0.028859)
  5. mantener             (Prob: 0.025256)
  6. científico           (Prob: 0.025256)
  7. madre                (Prob: 0.021653)
  8. castigo              (Prob: 0.021653)
  9. además               (Prob: 0.014447)
  10. suficientemente      (Prob: 0.014447)
  11. resistencio          (Prob: 0.014447)
  12. protestar            (Prob: 0.014447)
  13. kilómetro            (Prob: 0.010845)
  14. velocidad            (Prob: 0.010845)
  15. cámar                (Prob: 0.010845)
  16. kilo                 (Prob: 0.007242)
  17. cuchillo             (Prob: 0.007242)
  18. reflector            (Prob: 0.007242)
  19. pasado               (Prob: 0.007242)
  20. frío                 (Prob: 0.007242)

==================== TEMA 8 ====================
  1. lugar                (Prob: 0.098579)
  2. ir                   (Prob: 0.078051)
  3. puesto               (Prob: 0.041099)
  4. río                  (Prob: 0.028781)
  5. gota                 (Prob: 0.020570)
  6. decidir              (Prob: 0.016464)
  7. mano                 (Prob: 0.016464)
  8. deplorable           (Prob: 0.016464)
  9. ejemplo              (Prob: 0.016464)
  10. radio                (Prob: 0.012358)
  11. corto                (Prob: 0.012358)
  12. útil                 (Prob: 0.012358)
  13. cual                 (Prob: 0.008253)
  14. incinerado           (Prob: 0.008253)
  15. destinar             (Prob: 0.008253)
  16. hedor                (Prob: 0.008253)
  17. colocado             (Prob: 0.008253)
  18. platillo             (Prob: 0.008253)
  19. habitar              (Prob: 0.008253)
  20. charco               (Prob: 0.008253)

==================== TEMA 9 ====================
  1. creer                (Prob: 0.135290)
  2. después              (Prob: 0.058525)
  3. nombre               (Prob: 0.036592)
  4. principio            (Prob: 0.025625)
  5. observar             (Prob: 0.025625)
  6. recibido             (Prob: 0.018314)
  7. deportado            (Prob: 0.018314)
  8. oído                 (Prob: 0.014659)
  9. vecino               (Prob: 0.014659)
  10. vez                  (Prob: 0.014659)
  11. forzar               (Prob: 0.014659)
  12. prohibir             (Prob: 0.014659)
