--- ANÁLISIS DE TEMAS LDA (K=300) ---

==================== TEMA 0 ====================
  1. manera               (Prob: 0.077473)
  2. ver                  (Prob: 0.054700)
  3. además               (Prob: 0.036482)
  4. grupo                (Prob: 0.027373)
  5. cualquiera           (Prob: 0.022818)
  6. superior             (Prob: 0.013709)
  7. objeto               (Prob: 0.013709)
  8. empezar              (Prob: 0.013709)
  9. ejecución            (Prob: 0.013709)
  10. haber él             (Prob: 0.013709)
  11. haber                (Prob: 0.013709)
  12. aconsejar            (Prob: 0.013709)
  13. ario                 (Prob: 0.013709)
  14. lograr               (Prob: 0.013709)
  15. relativo             (Prob: 0.009155)
  16. extranjero           (Prob: 0.009155)
  17. circular             (Prob: 0.009155)
  18. evitar               (Prob: 0.009155)
  19. gas                  (Prob: 0.009155)
  20. cerca                (Prob: 0.009155)

==================== TEMA 1 ====================
  1. tal                  (Prob: 0.080890)
  2. loco                 (Prob: 0.037778)
  3. marido               (Prob: 0.032388)
  4. trozo                (Prob: 0.032388)
  5. aspirín              (Prob: 0.026999)
  6. esposo               (Prob: 0.026999)
  7. retirar              (Prob: 0.026999)
  8. campo                (Prob: 0.026999)
  9. colocar              (Prob: 0.010832)
  10. terminar             (Prob: 0.010832)
  11. penetrant            (Prob: 0.010832)
  12. hacia                (Prob: 0.010832)
  13. acusar               (Prob: 0.010832)
  14. serie                (Prob: 0.010832)
  15. permitir él          (Prob: 0.010832)
  16. nueve                (Prob: 0.010832)
  17. esther               (Prob: 0.010832)
  18. alturar              (Prob: 0.010832)
  19. volver               (Prob: 0.005443)
  20. devolver él          (Prob: 0.005443)

==================== TEMA 2 ====================
  1. ejemplo              (Prob: 0.057585)
  2. pobre                (Prob: 0.038406)
  3. bueno                (Prob: 0.033611)
  4. resistencia          (Prob: 0.028817)
  5. amigo                (Prob: 0.019227)
  6. género               (Prob: 0.019227)
  7. sonar                (Prob: 0.019227)
  8. suponer              (Prob: 0.019227)
  9. barraca              (Prob: 0.014432)
  10. utilizar             (Prob: 0.014432)
  11. estudiante           (Prob: 0.009638)
  12. rueda                (Prob: 0.009638)
  13. sesión               (Prob: 0.009638)
  14. presentar            (Prob: 0.009638)
  15. momento              (Prob: 0.009638)
  16. unido                (Prob: 0.009638)
  17. ser                  (Prob: 0.009638)
  18. exigir               (Prob: 0.009638)
  19. diagnóstico          (Prob: 0.009638)
  20. vivido               (Prob: 0.009638)

==================== TEMA 3 ====================
  1. haber                (Prob: 0.093388)
  2. aire                 (Prob: 0.049175)
  3. especial             (Prob: 0.024612)
  4. circunstancia        (Prob: 0.019699)
  5. herido               (Prob: 0.019699)
  6. ocultar              (Prob: 0.019699)
  7. comprar              (Prob: 0.019699)
  8. birkenauauschwitz    (Prob: 0.014787)
  9. cortado              (Prob: 0.014787)
  10. transilvania         (Prob: 0.014787)
  11. ventaja              (Prob: 0.009874)
  12. ejecución            (Prob: 0.009874)
  13. sueño                (Prob: 0.009874)
  14. océano               (Prob: 0.009874)
  15. cáncer               (Prob: 0.009874)
  16. ir                   (Prob: 0.009874)
  17. semana               (Prob: 0.009874)
  18. pretender            (Prob: 0.009874)
  19. frontera             (Prob: 0.009874)
  20. golpiza              (Prob: 0.004962)

==================== TEMA 4 ====================
  1. noticia              (Prob: 0.074102)
  2. cosa                 (Prob: 0.054354)
  3. habitación           (Prob: 0.044481)
  4. izquierdo            (Prob: 0.019797)
  5. mil                  (Prob: 0.014860)
  6. tocar                (Prob: 0.014860)
  7. destruir             (Prob: 0.014860)
  8. interior             (Prob: 0.014860)
  9. distinto             (Prob: 0.014860)
  10. deportada            (Prob: 0.009923)
  11. dolient              (Prob: 0.009923)
  12. humano               (Prob: 0.009923)
  13. cristal              (Prob: 0.009923)
  14. cuarto               (Prob: 0.009923)
  15. marcha               (Prob: 0.009923)
  16. parásito             (Prob: 0.009923)
  17. modos                (Prob: 0.009923)
  18. pálido               (Prob: 0.009923)
  19. refugio              (Prob: 0.004986)
  20. rector               (Prob: 0.004986)

==================== TEMA 5 ====================
  1. peligro              (Prob: 0.064723)
  2. pensar               (Prob: 0.053945)
  3. pena                 (Prob: 0.037778)
  4. personal             (Prob: 0.026999)
  5. veinte               (Prob: 0.021610)
  6. joven                (Prob: 0.021610)
  7. elemento             (Prob: 0.021610)
  8. osvath               (Prob: 0.016221)
  9. uno                  (Prob: 0.016221)
  10. escala               (Prob: 0.016221)
  11. seleccionar          (Prob: 0.016221)
  12. aquel                (Prob: 0.016221)
  13. izquierdo            (Prob: 0.016221)
  14. quizás               (Prob: 0.010832)
  15. abuela               (Prob: 0.010832)
  16. negar                (Prob: 0.010832)
  17. órden                (Prob: 0.010832)
  18. teniente             (Prob: 0.005443)
  19. dominar              (Prob: 0.005443)
  20. pi                   (Prob: 0.005443)

==================== TEMA 6 ====================
  1. país                 (Prob: 0.116727)
  2. momento              (Prob: 0.047783)
  3. metro                (Prob: 0.021266)
  4. desear               (Prob: 0.021266)
  5. uno                  (Prob: 0.021266)
  6. cautivo              (Prob: 0.015963)
  7. inicial              (Prob: 0.015963)
  8. sometido             (Prob: 0.015963)
  9. negar                (Prob: 0.015963)
  10. amargo               (Prob: 0.015963)
  11. serie                (Prob: 0.010660)
  12. satisfacción         (Prob: 0.010660)
  13. papel                (Prob: 0.010660)
  14. vendaje              (Prob: 0.010660)
  15. húmedo               (Prob: 0.005356)
  16. responder            (Prob: 0.005356)
  17. rumano               (Prob: 0.005356)
  18. especialmente        (Prob: 0.005356)
  19. cámar                (Prob: 0.005356)
  20. palabra              (Prob: 0.005356)

==================== TEMA 7 ====================
  1. todavía              (Prob: 0.062380)
  2. plan                 (Prob: 0.062380)
  3. castigo              (Prob: 0.028817)
  4. grupo                (Prob: 0.028817)
  5. esperar              (Prob: 0.024022)
  6. protestar            (Prob: 0.019227)
  7. existencia           (Prob: 0.019227)
  8. contenido            (Prob: 0.014432)
  9. hacer yo             (Prob: 0.014432)
  10. caja                 (Prob: 0.014432)
  11. apelar               (Prob: 0.009638)
  12. soldado              (Prob: 0.009638)
  13. pasado               (Prob: 0.009638)
  14. kilo                 (Prob: 0.009638)
  15. ver                  (Prob: 0.009638)
  16. conseguido           (Prob: 0.009638)
  17. quince               (Prob: 0.009638)
  18. presentar yo         (Prob: 0.009638)
  19. permanecido          (Prob: 0.009638)
  20. judía                (Prob: 0.004843)

==================== TEMA 8 ====================
  1. además               (Prob: 0.076035)
  2. nombre               (Prob: 0.042791)
  3. alambrada            (Prob: 0.042791)
  4. mantener             (Prob: 0.033292)
  5. gota                 (Prob: 0.023794)
  6. tal                  (Prob: 0.023794)
  7. deportado            (Prob: 0.023794)
  8. oído                 (Prob: 0.019044)
  9. resistencio          (Prob: 0.019044)
  10. útil                 (Prob: 0.014295)
  11. velocidad            (Prob: 0.014295)
  12. marido               (Prob: 0.009546)
  13. destinar             (Prob: 0.009546)
  14. frío                 (Prob: 0.009546)
  15. inválido             (Prob: 0.009546)
  16. colocado             (Prob: 0.009546)
  17. conejillo            (Prob: 0.009546)
