TOP 20 TÓPICOS (Menor Entropía es Mejor)
========================================
Modelo     | Tópico     | Entropía       
K=300      | 47         | 2.03507
K=200      | 155        | 2.10139
K=300      | 273        | 2.18914
K=200      | 124        | 2.35650
K=200      | 15         | 2.39573
K=300      | 97         | 2.55643
K=200      | 35         | 2.57517
K=300      | 279        | 2.59506
K=300      | 26         | 2.59577
K=200      | 11         | 2.60146
K=300      | 221        | 2.61947
K=300      | 240        | 2.64566
K=300      | 82         | 2.65702
K=300      | 188        | 2.65761
K=200      | 86         | 2.72131
K=300      | 22         | 2.72788
K=300      | 262        | 2.73754
K=300      | 13         | 2.74051
K=200      | 172        | 2.74355
K=300      | 275        | 2.75081
